DATE,IC4WSA
3/14/92,434500
3/21/92,435500
3/28/92,429500
4/4/92,427250
4/11/92,421250
4/18/92,417250
4/25/92,418250
5/2/92,423000
5/9/92,424000
5/16/92,421500
5/23/92,419000
5/30/92,414000
6/6/92,413750
6/13/92,415250
6/20/92,416500
6/27/92,418750
7/4/92,416500
7/11/92,413500
7/18/92,406750
7/25/92,442750
8/1/92,446750
8/8/92,446250
8/15/92,448500
8/22/92,407000
8/29/92,403250
9/5/92,405750
9/12/92,409500
9/19/92,416750
9/26/92,417000
10/3/92,412500
10/10/92,402000
10/17/92,391500
10/24/92,381000
10/31/92,372750
11/7/92,372750
11/14/92,370750
11/21/92,368250
11/28/92,362250
12/5/92,356250
12/12/92,351750
12/19/92,346000
12/26/92,339000
1/2/93,336750
1/9/93,335500
1/16/93,340000
1/23/93,347000
1/30/93,346750
2/6/93,338000
2/13/93,330250
2/20/93,332750
2/27/93,338250
3/6/93,347000
3/13/93,353250
3/20/93,350000
3/27/93,351000
4/3/93,353750
4/10/93,355500
4/17/93,358750
4/24/93,354750
5/1/93,349250
5/8/93,345750
5/15/93,344250
5/22/93,342250
5/29/93,343750
6/5/93,344750
6/12/93,344250
6/19/93,345000
6/26/93,342750
7/3/93,340500
7/10/93,333250
7/17/93,330750
7/24/93,349500
7/31/93,355000
8/7/93,363000
8/14/93,364000
8/21/93,345750
8/28/93,341000
9/4/93,338000
9/11/93,336500
9/18/93,337500
9/25/93,339000
10/2/93,338750
10/9/93,344250
10/16/93,347500
10/23/93,350250
10/30/93,354000
11/6/93,352750
11/13/93,348250
11/20/93,343750
11/27/93,341000
12/4/93,337750
12/11/93,336000
12/18/93,334750
12/25/93,323000
1/1/94,324000
1/8/94,326250
1/15/94,332250
1/22/94,347500
1/29/94,363750
2/5/94,368250
2/12/94,368000
2/19/94,368250
2/26/94,348500
3/5/94,345250
3/12/94,342000
3/19/94,337000
3/26/94,335750
4/2/94,334250
4/9/94,336250
4/16/94,341750
4/23/94,344000
4/30/94,344500
5/7/94,350000
5/14/94,351500
5/21/94,358000
5/28/94,359000
6/4/94,352500
6/11/94,347000
6/18/94,341750
6/25/94,340000
7/2/94,337250
7/9/94,338000
7/16/94,343750
7/23/94,344750
7/30/94,344250
8/6/94,343500
8/13/94,337500
8/20/94,334000
8/27/94,336250
9/3/94,336500
9/10/94,335500
9/17/94,334250
9/24/94,330250
10/1/94,328000
10/8/94,330500
10/15/94,332750
10/22/94,334000
10/29/94,334250
11/5/94,331000
11/12/94,329500
11/19/94,328500
11/26/94,328000
12/3/94,327000
12/10/94,327000
12/17/94,328000
12/24/94,324250
12/31/94,323000
1/7/95,325250
1/14/95,329500
1/21/95,332250
1/28/95,333500
2/4/95,330000
2/11/95,330250
2/18/95,334750
2/25/95,337750
3/4/95,341500
3/11/95,341250
3/18/95,341250
3/25/95,340250
4/1/95,339250
4/8/95,339250
4/15/95,342250
4/22/95,346500
4/29/95,354000
5/6/95,358250
5/13/95,361000
5/20/95,368000
5/27/95,370250
6/3/95,369750
6/10/95,370000
6/17/95,370250
6/24/95,366250
7/1/95,364500
7/8/95,365750
7/15/95,368500
7/22/95,376500
7/29/95,375500
8/5/95,370250
8/12/95,361250
8/19/95,354250
8/26/95,356250
9/2/95,357250
9/9/95,361750
9/16/95,365250
9/23/95,363750
9/30/95,363750
10/7/95,364500
10/14/95,362750
10/21/95,366000
10/28/95,371500
11/4/95,373000
11/11/95,373250
11/18/95,376500
11/25/95,377000
12/2/95,375250
12/9/95,369250
12/16/95,367750
12/23/95,366500
12/30/95,363000
1/6/96,366750
1/13/96,356750
1/20/96,367000
1/27/96,374000
2/3/96,377250
2/10/96,390750
2/17/96,382750
2/24/96,377250
3/2/96,375750
3/9/96,369250
3/16/96,369500
3/23/96,384750
3/30/96,391000
4/6/96,393000
4/13/96,386250
4/20/96,371750
4/27/96,359250
5/4/96,351500
5/11/96,350250
5/18/96,344500
5/25/96,344500
6/1/96,345000
6/8/96,344750
6/15/96,344000
6/22/96,343500
6/29/96,342750
7/6/96,340500
7/13/96,341750
